title,category,old_filename,old_slug,new_slug,is_bad_old,published
Nepali New Story - केही छैन असम्भव | नेपाली लघुकथा,Nepali Story/Katha,/2018/12/nepali-new-story.html,nepali-new-story,nepali-new-story-kehi-chaina-asambhava-nepali-laghukatha,False,2018-12-09
बालदिवस निबन्ध,Nepali Essay/Nibandha,/2018/03/blog-post_36.html,blog-post_36,baladivasa-nibandha,True,2018-03-17
Janmabhumi Question and Answer Class 10 Nepali,Class 10,/2021/09/class-10-see-nepali-book-note-lesson-1.html,class-10-see-nepali-book-note-lesson-1,janmabhumi-question-and-answer-class-10-nepali,False,2021-09-10
लक्ष्य कविता | Poem on Aim in life in Nepali,Nepali Poems/Kabita,/2018/11/poem-on-aim-in-life-in-nepali.html,poem-on-aim-in-life-in-nepali,poem-on-aim-in-life-in-nepali,False,2018-11-20
सामान्य ज्ञान नेपाली General Knowledge in Nepali,nepalisamanyagyan,/2019/01/general-knowledge-in-nepali.html,general-knowledge-in-nepali,samanya-jnana-nepali-general-knowledge-in-nepali,False,2019-01-10
बल भन्दा बुद्धि ठूलो वादविवाद नेपालीमा |,Nepali Essay/Nibandha,/2018/09/blog-post.html,blog-pos,bala-bhanda-buddhi-thulo-vadavivada-nepalima,True,2018-09-04
Essay on Children Day in Nepali Children Day Special Articles,Nepali Essay/Nibandha,/2019/06/essay-on-children-day-in-nepali.html,essay-on-children-day-in-nepali,essay-on-children-day-in-nepali-children-day-special,False,2019-06-05
CLASS 9 PRACTICE QUESTIONS 2077/2078,CLASS 9,/2019/07/class-9-practice-questions-2075.html,class-9-practice-questions-2075,class-9-practice-questions-2077-2078,False,2019-07-13
नेपालको प्राकृतिको बारेमा निबध (नेपालको प्रकृतिक सम्पदा),Nepali Poems/Kabita,/2018/05/blog-post.html,blog-pos,nepalako-prakrritiko-barema-nibadha-nepalako-prakrritika,True,2018-05-25
नयाँ नेपाली कविता Lekhnath Paudel,Nepali Poems/Kabita,/2019/01/blog-post_78.html,blog-post_78,nayan-nepali-kavita-lekhnath-paudel,True,2019-01-06
मेरो देश मेरो गौरव essay,Nepali Essay/Nibandha,/2019/01/essay.html,essay,mero-desha-mero-gaurava-essay,False,2019-01-05
Simple Living High Thinking Essay in Nepali,Nepali Essay/Nibandha,/2019/06/simple-living-high-thinking-essay-in.html,simple-living-high-thinking-essay-in,simple-living-high-thinking-essay-in-nepali,False,2019-06-05
Essay on Mero Desh Nepal in Nepali language(मेरो देश निबन्ध) Mero Desh Mero Gaurav,Nepali Essay/Nibandha,/2021/09/essay-on-mero-desh-nepal-in-nepali.html,essay-on-mero-desh-nepal-in-nepali,essay-on-mero-desh-nepal-in-nepali-language-mero-desha,False,2021-09-10
BLE 2077/2078 NEPALI QUESTION,BLE PRACTICE 2076,/2020/03/ble-2075-nepali-question.html,ble-2075-nepali-question,ble-2077-2078-nepali-question,False,2020-03-11
BLE Practice Book Class 8 2078/2079 | Questions Bank,BLE PRACTICE 2076,/2018/08/BLE-Practice-Book-Class-8-2075-Questions-Bank.html,BLE-Practice-Book-Class-8-2075-Questions-Bank,ble-practice-book-class-8-2078-2079,False,2018-08-27
"Nepali Byakaran Pratice Questions Class 8,9,10",BLE PRACTICE 2076,/2019/02/nepali-byakaran-pratice-questions-class_26.html,nepali-byakaran-pratice-questions-class_26,nepali-byakaran-pratice-questions-class-8910,False,2019-02-26
Nepali Gajal नेपाली गजल नयाँ नेपाली गजल,Nepali Blog,/2021/03/nepali-gajal.html,nepali-gaja,nepali-gajal-nepali-gajala-nayan-nepali-gajala,False,2021-03-24
BLE 2078/2079 QUESTIONS PAPER CLASS 8,BLE PRACTICE 2076,/2019/06/BLE-2075-QUESTIONS-PAPER.html,BLE-2075-QUESTIONS-PAPER,ble-2078-2079-questions-paper-class-8,False,2019-06-25
नेपाल कविता Poem on Nepal in Nepali Latest Poem in Nepal,Nepali Poems/Kabita,/2019/03/poem-on-nepal-in-nepali-latest-poem-in.html,poem-on-nepal-in-nepali-latest-poem-in,nepala-kavita-poem-on-nepal-in-nepali-latest-poem-in-nepal,False,2019-03-30
How to earn money online in Nepal ? Top 20 Ways,Nepaliblog,/2019/01/how-to-earn-money-online-in-nepal.html,how-to-earn-money-online-in-nepa,how-to-earn-money-online-in-nepal-top-20-ways,False,2019-01-22
हामी नेपाली कविता,Nepali Story/Katha,/2018/06/blog-post.html,blog-pos,hami-nepali-kavita,True,2018-06-09
जीवनको महत्व निबंध  | Essay on importance of life in Nepali,Nepali Essay/Nibandha,/2018/09/essay-on-importance-of-life-in-nepali.html,essay-on-importance-of-life-in-nepali,essay-on-importance-of-life-in-nepali,False,2018-09-06
Essay on Mountaineer in Nepali Language,Nepali Essay/Nibandha,/2019/06/essay-on-mountaineer-in-nepali-language.html,essay-on-mountaineer-in-nepali-language,essay-on-mountaineer-in-nepali-language,False,2019-06-05
BLE Practice Questions 2077/2078 Class 8,BLE PRACTICE 2076,/2019/02/ble-practice-questions-2075-class-8.html,ble-practice-questions-2075-class-8,ble-practice-questions-2077-2078-class-8,False,2019-02-26
पुस्तकालयको महत्व निबन्ध -  Library essay in Nepali,Nepali Essay/Nibandha,/2018/05/library-essay-in-nepali.html,library-essay-in-nepali,pustakalayako-mahatva-nibandha-library-essay-in-nepali,False,2018-05-25
खेलकुदको महत्व निबन्ध Sports Essay In Nepali,Nepali Essay/Nibandha,/2018/03/blog-post.html,blog-pos,khelakudako-mahatva-nibandha-sports-essay-in-nepali,True,2018-03-17
नेपालीमा लघुकथा,Nepali Story/Katha,/2018/06/blog-post_1.html,blog-post_1,nepalima-laghukatha,True,2018-06-09
Nepali Byakaran Pratice Questions Class 8 - 10 | नेपाली ब्याकरण अभ्यास,BLE PRACTICE 2076,/2019/02/nepali-byakaran-pratice-questions-class.html,nepali-byakaran-pratice-questions-class,nepali-byakaran-pratice-questions-class-8-10,False,2019-02-26
निवेदन लेख्ने तरिका How to write application in Nepali,BLE PRACTICE 2076,/2019/03/how-to-write-letter-in-nepali.html,how-to-write-letter-in-nepali,nivedana-lekhne-tarika-how-to-write-application-in-nepali,False,2019-03-30
देश विकासमा विद्यार्थीको भूमिका,Nepali Essay/Nibandha,/2018/12/blog-post_22.html,blog-post_22,desha-vikasama-vidyarthiko-bhumika,True,2018-12-07
म स्वतन्त्र छैन अझै नयाँ नेपाली कविता -सुबेश यादव,Nepali Poems/Kabita,/2019/06/blog-post_11.html,blog-post_11,ma-svatantra-chaina-ajhai-nayan-nepali-kavita-subesha,True,2019-06-11
Aim Nepali Poem - Nepalikabita,Nepali Poems/Kabita,/2019/06/aim-nepali-poem-nepalikabita.html,aim-nepali-poem-nepalikabita,aim-nepali-poem-nepalikabita,False,2019-06-02
Essay On Education System Of Nepal,Nepali Essay/Nibandha,/2018/09/essay-on-present-education-system-of-nepal.html,essay-on-present-education-system-of-nepa,essay-on-education-system-of-nepal,False,2018-09-03
Nepali essay on discipline,Nepali Essay/Nibandha,/2018/06/nepali-essay-on-discipline.html,nepali-essay-on-discipline,nepali-essay-on-discipline,False,2018-06-10
NEB Class 11 English Notes(Complete) Textual Question and Answer with PDF Lesson Wise,Class 11,/2021/09/neb-class-11-english-notescomplete.html,neb-class-11-english-notescomplete,neb-class-11-english-notes-complete-textual-question-and,False,2021-09-17
Sanduk Ruit Question Answers Class 10 Nepali Notes,Class 10,/2021/09/class-10-see-nepali-guide-book-note.html,class-10-see-nepali-guide-book-note,sanduk-ruit-question-answers-class-10-nepali-notes,False,2021-09-10
मेरो जीवनको लक्ष्य निबन्ध,Nepali Essay/Nibandha,/2018/03/blog-post_45.html,blog-post_45,mero-jivanako-lakshya-nibandha,True,2018-03-17
How to earn money from blog in Nepal? Blogging in Nepal,Nepali Blog,/2020/12/how-to-earn-money-from-blog-in-nepal.html,how-to-earn-money-from-blog-in-nepa,how-to-earn-money-from-blog-in-nepal-blogging-in-nepal,False,2020-12-24
BLE 2078/2079 SOCIAL STUDIES QUESTION,BLE PRACTICE 2076,/2019/06/ble-2075-social-studies-question.html,ble-2075-social-studies-question,ble-2078-2079-social-studies-question,False,2019-06-28
मेरो बाल्यकाल निबन्ध | Essay on Childhood in Nepali,Nepali Essay/Nibandha,/2019/01/blog-post.html,blog-pos,essay-on-childhood-in-nepali,True,2019-01-03
हरियो वन नेपालको धन निबध नेपालीमा,Nepali Essay/Nibandha,/2019/01/blog-post_7.html,blog-post_7,hariyo-vana-nepalako-dhana-nibadha-nepalima,True,2019-01-07
समाज सेवा निबंध नेपालीमा (SamajSewa Nibandh),Nepali Essay/Nibandha,/2018/12/in-nepali.html,in-nepali,samaja-seva-nibamdha-nepalima-samajsewa-nibandh,False,2018-12-12
NEPALI TYPING SOFTWARE | HOW TO TYPE NEPALI EASILY IN COMPUTER,FIX,/2019/05/nepali-typing-software-how-to-type.html,nepali-typing-software-how-to-type,how-to-type-nepali-easily-in-computer,False,2019-05-18
Nepali Essay,Nepali Essay/Nibandha,/2018/12/nepali-essay_8.html,nepali-essay_8,nepali-essay,False,2018-12-08
My Country My Pride Essay in Nepali,Nepali Essay/Nibandha,/2019/06/my-country-my-pride-essay-in-nepali.html,my-country-my-pride-essay-in-nepali,my-country-my-pride-essay-in-nepali,False,2019-06-05
शिक्षाको महत्व निबन्ध नेपालीमा | Education Importance Essay in Nepali,Nepali Essay/Nibandha,/2019/01/education-importance-essay-in-nepali.html,education-importance-essay-in-nepali,education-importance-essay-in-nepali,False,2019-01-01
नेपाली कविता -मेरो गाउँ कविता,Nepali Poems/Kabita,/2018/12/blog-post_21.html,blog-post_21,nepali-kavita-mero-gaun-kavita,True,2018-12-21
BLE 2078/2079 SCIENCE QUESTION CLASS 8,BLE PRACTICE 2076,/2019/06/ble-2075-science-question-class-8.html,ble-2075-science-question-class-8,ble-2078-2079-science-question-class-8,False,2019-06-26
Navodaya Shishu Sadan Hetauda | नवोदय शिशु सदन हेटौँडा,Nepaliblog,/2019/01/navodaya-shishu-sadan-hetauda.html,navodaya-shishu-sadan-hetauda,navodaya-shishu-sadan-hetauda,False,2019-01-12
BLE 2078/2079 PRACTICE QUESTIONS OF ALL SUBJECTS,BLE PRACTICE 2076,/2019/06/ble-2076-practice-questions.html,ble-2076-practice-questions,ble-2078-2079-practice-questions-of-all-subjects,False,2019-06-26
BLE class 8 question 2078/2079 | Class 8 Science Exam Questions,BLE PRACTICE 2076,/2019/02/dle-class-8-question-2074-class-8.html,dle-class-8-question-2074-class-8,ble-class-8-question-2078-2079,False,2019-02-22
Class 10th Math Practice Questions Mensuration SEE Math Questions,Class 10,/2020/12/class-10th-math-practice-questions.html,class-10th-math-practice-questions,class-10th-math-practice-questions-mensuration-see-math,False,2020-12-05
स्वतन्त्रता निबन्ध,Nepali Essay/Nibandha,/2018/12/blog-post_7.html,blog-post_7,svatantrata-nibandha,True,2018-12-07
दशैंको बारेमा कबिता |  Dashain Poem In Nepali,Nepali Poems/Kabita,/2018/05/dashain-poem-in-nepali.html,dashain-poem-in-nepali,dashain-poem-in-nepali,False,2018-05-25
Great Poets of Nepal | Award for Nepali Literature | Madan Puraskar Winners,Nepali Essay/Nibandha,/2019/07/great-poets-of-nepal-award-for-nepali.html,great-poets-of-nepal-award-for-nepali,award-for-nepali-literature,False,2019-07-11
9TH CLASS QUESTION PAPER 2019 AND 2021,CLASS 9,/2019/07/9th-class-question-paper-2018-and-2019.html,9th-class-question-paper-2018-and-2019,9th-class-question-paper-2019-and-2021,False,2019-07-13
How to write a letter in Nepali चिठी लेख्ने तरिका,BLE PRACTICE 2076,/2019/07/how-to-write-a-letter-in-nepali.html,how-to-write-a-letter-in-nepali,how-to-write-a-letter-in-nepali-chithi-lekhne-tarika,False,2019-07-05
Nepalma Samajik Samasya: Nibandha (सामाजिक समस्या निबन्ध),Nepali Essay/Nibandha,/2018/03/blog-post_17.html,blog-post_17,nepalma-samajik-samasya-nibandha-samajika-samasya-nibandha,True,2018-03-17
How to start blog in Nepal | Earn Money Creating websites in Nepal,Nepaliblog,/2019/01/earn-money-creating-websites-in-nepal.html,earn-money-creating-websites-in-nepa,earn-money-creating-websites-in-nepal,False,2019-01-01
Class 11 Nepali Lesson 1 Bir Purkha Kabita Question and Answer Nepali Notes,Class 11,/2021/09/class-11-nepali-bir-purkha-kawita.html,class-11-nepali-bir-purkha-kawita,class-11-nepali-lesson-1-bir-purkha-kabita-question-and,False,2021-09-16
Nepali Poems Collection PDF,Nepali Poems/Kabita,/2019/06/nepali-poems-collection-pdf.html,nepali-poems-collection-pdf,nepali-poems-collection-pdf,False,2019-06-23
Essay/Nibandh in Nepali about COVID-19 in Nepali Effects on Nepal,Nepali Essay/Nibandha,/2021/09/essaynepali-essay-on-covid-19-in-nepali.html,essaynepali-essay-on-covid-19-in-nepali,essay-nibandh-in-nepali-about-covid-19-in-nepali-effects-on,False,2021-09-13
Essay on Nepalese in Nepali (Hami Nepali Nibandha),Nepali Essay/Nibandha,/2019/06/essay-on-nepalese-in-nepali-hami-nepali.html,essay-on-nepalese-in-nepali-hami-nepali,essay-on-nepalese-in-nepali-hami-nepali-nibandha,False,2019-06-05
पर्वतारोहण निबन्ध नेपालीमा,Nepali Essay/Nibandha,/2019/01/blog-post_18.html,blog-post_18,parvatarohana-nibandha-nepalima,True,2019-01-18
Poem in Nepali (तिम्ले गर्नै पर्छ) New Chhanda kabita Poem in Nepali,Nepali Poems/Kabita,/2021/09/poem-in-nepali-new-chhanda-kawita-poem.html,poem-in-nepali-new-chhanda-kawita-poe,poem-in-nepali-timle-garnai-parcha-new-chhanda-kabita-poem,False,2021-09-17
Poems in Nepali New Nepali Poem,Nepali Poems/Kabita,/2019/04/poems-in-nepali-new-nepali-poem.html,poems-in-nepali-new-nepali-poe,poems-in-nepali-new-nepali-poem,False,2019-04-25
समयको महत्त्व निबन्ध नेपालीमा | Essay on Time in Nepali,Nepali Essay/Nibandha,/2019/01/essay-on-time-in-nepali.html,essay-on-time-in-nepali,essay-on-time-in-nepali,False,2019-01-03
SEE Practice Questions of OPT Math 2078/2079,BLE PRACTICE 2076,/2020/12/SEE-OPT-Practice-Question.html,SEE-OPT-Practice-Question,see-practice-questions-of-opt-math-2078-2079,False,2020-12-24
समाज सेवा निबंध नेपालीमा (SamajSewa Nibandh),Nepali Essay/Nibandha,/2019/06/samajsewa-nibandh.html,samajsewa-niband,samaja-seva-nibamdha-nepalima-samajsewa-nibandh-2,False,2019-06-08
Green Forest is the Wealth of Nepal essay in Nepali Hariyo Wan Nepal Ko Dhan,Nepali Essay/Nibandha,/2019/06/green-forest-is-wealth-of-nepal-essay.html,green-forest-is-wealth-of-nepal-essay,green-forest-is-the-wealth-of-nepal-essay-in-nepali-hariyo,False,2019-06-05
"नेपाली भाषामा निबन्ध, Essay on Nepali Language in Nepali",Nepali Essay/Nibandha,/2019/04/essay-on-nepali-language-in-nepali.html,essay-on-nepali-language-in-nepali,nepali-bhashama-nibandha-essay-on-nepali-language-in-nepali,False,2019-04-08
Nepali Poems नेपाली कविताको सङ्ग्रह,Nepali Poems/Kabita,/2019/05/nepali-poems.html,nepali-poems,nepali-poems-nepali-kavitako-sangraha,False,2019-05-04
